UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min]
4737,L47271,L,301.861852,307.0074776,1929,55.80894578,90
8403,M14952,M,302.2992224,308.7131576,1514,38.81553034,223
4960,L47273,L,300.4637502,312.5607975,2122,70.49091415,35
776,L47274,L,302.3928981,312.4060877,2787,45.68288515,97
9107,M14955,M,299.8429195,308.8008761,1902,13.63149431,251
7440,M14956,M,300.109142,310.4718618,2444,43.65870236,152
506,M14957,M,299.2333774,311.5386122,1577,16.9748428,222
3299,L47278,L,295.533856,307.6537749,1710,59.67435226,41
4189,L47279,L,296.2926011,307.0619428,1522,74.2102828,110
4426,L47280,L,295.5891485,313.5739775,1880,30.06759295,12
3002,L47281,L,301.1549758,310.7022142,2755,35.46202167,183
261,L47282,L,298.192075,313.6494673,2559,34.48494279,78
8902,M14963,M,299.9788504,308.4358235,1751,24.56983824,117
1952,L47284,L,303.6496116,311.3945568,1678,61.61630144,178
2371,L47285,L,297.5934885,307.5030895,1700,48.77062262,177
6154,L47286,L,299.0755229,307.8157214,1695,8.462953339,204
8280,M14967,M,302.2510705,309.8464072,2114,64.86510119,51
6484,H29522,H,297.4049431,308.2889068,2719,17.42002323,243
5669,L47289,L,296.0082152,307.0577347,2593,75.08220457,160
2735,L47290,L,297.9657134,307.8293337,2366,31.22107652,94
2257,H29525,H,296.7832358,305.989562,1991,48.67753431,152
1073,M14972,M,303.8532184,311.4058313,1245,9.465559456,111
3922,M14973,M,302.7347075,309.6861449,1607,28.8914864,57
2970,L47294,L,301.1273146,306.4633688,1716,62.2113681,167
5943,L47295,L,303.3174374,307.0907213,2423,38.54077821,86
3278,L47296,L,302.6937831,306.5305298,1567,69.6551336,165
3970,L47297,L,297.0164445,310.6620017,2404,45.67007851,2
7921,M14978,M,303.5115428,306.4631039,2384,71.40005582,115
1489,L47299,L,300.2619486,311.8096869,2763,75.33400123,15
9851,L47300,L,302.7284494,305.8661384,1868,36.84352393,129
7960,L47301,L,303.54404,307.7199439,2458,44.94339848,22
9324,L47302,L,298.225632,312.9144001,1293,64.58222283,97
2188,L47303,L,296.3124777,311.5201037,2001,19.9276028,157
5211,L47304,L,297.3970035,306.2910435,2573,66.52663297,238
271,L47305,L,299.2293917,312.3511214,1711,46.89178622,9
7378,L47306,L,302.8257358,309.6935845,1669,56.61640986,64
9789,L47307,L,303.2187214,312.5589425,2594,9.61337285,21
366,L47308,L,295.3639596,310.5659922,1991,59.57846336,51
8195,L47309,L,299.9988752,311.2228476,2452,26.42528665,110
3052,L47310,L,299.1401812,313.7473626,1554,62.42090975,183
784,L47311,L,297.3433919,307.5819179,1579,40.86630479,160
4484,M14992,M,296.4027614,310.7539592,2537,23.79192357,216
7139,M14993,M,298.4060596,309.4286033,2285,73.16090594,213
9225,L47314,L,303.9747693,306.0195608,1495,59.49654255,79
7160,M14995,M,298.273467,305.8172122,1267,75.55794618,157
5486,H29550,H,300.0728737,306.6657515,1628,30.3334086,209
238,L47317,L,301.7677744,310.9576431,2506,51.06318932,151
7059,H29552,H,298.6453923,310.294021,1192,48.32365575,132
1463,L47319,L,304.2403952,310.1827794,1661,53.85413075,52
9064,L47320,L,304.1545151,305.9580398,1520,6.589446008,228
9414,L47321,L,297.6163971,309.5013543,2036,25.03716678,182
1667,M15002,M,299.8746863,313.1894448,2308,69.99977537,22
6297,H29557,H,298.0680805,308.9204941,1366,34.65409999,105
1657,M15004,M,297.9205325,310.761872,2470,73.73485984,90
1132,L47325,L,295.6393599,312.0165313,2773,19.34303097,118
811,H29560,H,300.9079919,312.0497948,2014,76.41246527,203
56,L47327,L,299.924647,309.9061687,2270,54.58389017,137
3524,M15008,M,295.7736045,312.6494108,2615,60.32144127,225
7560,L47329,L,297.8635475,308.8701626,2545,32.69149334,119
2663,L47330,L,303.6560462,312.898415,1693,69.83019123,160
3280,M15011,M,297.5039694,307.64584,1708,43.50969919,207
1534,M15012,M,296.6330328,307.9697529,2847,53.37231408,92
4012,L47333,L,299.8029654,306.1302771,1644,10.70204215,61
934,L47334,L,304.3679842,312.1442129,1177,49.78635503,81
663,H29569,H,297.5269085,309.0781474,2750,67.79695035,154
3846,M15016,M,301.483647,307.5558446,2694,16.77901901,6
3024,H29571,H,302.3069005,307.5775012,2451,57.50644804,99
5968,M15018,M,297.4862654,313.0013395,1691,5.649175255,154
8336,L47339,L,301.9995904,312.4547245,1977,71.22757961,73
7908,L47340,L,298.6836048,310.1836002,1939,75.35636605,137
6610,L47341,L,301.1172136,310.6904975,2787,29.58430886,248
6281,L47342,L,301.1284733,309.5420371,2027,11.59497626,202
8432,M15023,M,300.2291271,308.872499,2197,51.7443596,56
2005,M15024,M,296.1306659,313.1153627,2226,5.97195263,29
6593,L47345,L,302.984783,306.7174629,1342,38.92500128,2
5435,H29580,H,298.2511766,309.089419,1609,23.58552395,156
4247,H29581,H,297.0159703,308.4909515,2768,38.25908313,13
3397,L47348,L,295.6751313,309.7350208,2338,5.130457473,76
7571,L47349,L,300.7362151,309.4068182,2760,7.557366928,82
8995,M15030,M,301.5335921,309.9030052,2384,4.96304034,152
8545,L47351,L,295.452608,306.8333437,2204,48.87280014,252
1975,M15032,M,300.0112561,309.8564462,2721,44.57476441,137
9326,M15033,M,297.3837611,307.6635924,1413,20.77390229,78
4562,L47354,L,301.2355897,307.1930839,1842,50.87561978,219
1064,L47355,L,296.9041711,306.2251572,1281,68.1702883,231
1396,L47356,L,301.6566272,311.8774857,2179,23.98904895,176
9741,L47357,L,298.8579652,309.1622796,1961,64.36914921,37
1531,L47358,L,303.9179159,310.7758138,1400,52.0306651,198
53,L47359,L,296.5651927,311.5935061,2869,6.262128263,141
3152,L47360,L,298.4378104,311.202465,2147,31.11091242,250
5865,H29595,H,296.3439564,309.5110558,2513,40.76472531,157
5671,M15042,M,303.8071813,308.8419781,2729,57.06770103,39
2787,L47363,L,303.3715221,308.7452753,1293,24.70310464,139
1145,L47364,L,297.673063,310.8843953,2504,75.34275163,219
2113,L47365,L,301.3718532,309.7078343,1678,53.63449311,241
296,L47366,L,302.8184442,312.5779712,2675,30.9408357,141
4743,L47367,L,300.4078475,312.7850861,1448,10.86342284,128
1581,L47368,L,300.1727853,307.0815391,1965,17.00357295,67
6279,M15049,M,297.5250411,306.8034926,2145,39.29784493,48
2426,L47370,L,296.1565455,310.8062475,2070,39.81382184,17
8148,L47371,L,303.554385,308.1399286,2474,59.68992608,242
7220,H29606,H,303.5838461,305.8504228,1818,56.66565834,163
7012,H29607,H,301.1245334,312.8980056,2804,18.4526772,63
2628,M15054,M,298.4190741,307.5378962,1559,47.11284198,95
4806,L47375,L,298.5127281,313.2271733,2714,5.301267094,27
6147,H29610,H,301.9787922,311.5112191,1549,32.81425068,219
9786,M15057,M,303.5534144,311.8774933,1383,59.42686151,229
7619,L47378,L,303.4611951,307.3318381,1709,32.88422559,159
8702,L47379,L,302.474855,307.5969748,1773,64.63140626,199
7936,L47380,L,301.2066911,309.9222688,1283,74.86410512,24
1892,L47381,L,296.0740877,307.0940088,1676,48.00507748,174
1462,M15062,M,296.7869842,308.1739967,2691,14.35629676,147
6921,L47383,L,303.5666985,308.3038461,1438,31.44050074,160
2000,L47384,L,300.8791473,306.9930025,2631,4.490388249,29
1971,M15065,M,295.3846129,307.361981,2482,47.67844726,164
1552,L47386,L,296.2335382,312.0872699,2230,63.61018687,207
3852,M15067,M,301.4042163,307.0542864,2215,49.65963775,180
102,L47388,L,295.3465666,305.9305049,1943,61.02707748,216
8084,L47389,L,296.7794341,310.797775,2234,62.03300591,101
1461,L47390,L,300.3483509,313.6054633,2361,65.75371555,116
8926,L47391,L,301.6654358,308.3828319,1507,23.2131234,105
533,H29626,H,301.2980436,306.6611112,1336,67.22834846,73
92,L47393,L,297.3632776,310.3201373,2729,51.41804309,68
1820,M15074,M,301.8520488,313.0414691,2883,24.89202052,7
1157,L47395,L,297.4826916,312.0509004,2663,75.67505525,122
4935,L47396,L,298.2936772,310.7423785,1829,72.97327826,96
8697,L47397,L,302.1677209,308.2519576,2836,45.61930358,100
4937,L47398,L,301.2766227,310.0892294,1310,65.18556995,0
4783,M15079,M,303.1128554,306.4390832,2867,22.83679878,94
6869,L47400,L,301.3500386,311.1994579,2292,34.08749335,6
9126,H29635,H,300.5284392,311.5732778,1742,17.19314418,61
9448,L47402,L,296.1618079,313.5167561,2796,41.66347238,110
884,L47403,L,298.6829854,307.8092186,1642,39.90890411,86
2705,L47404,L,297.7398618,305.849497,1478,19.29280285,252
6442,L47405,L,297.5447047,310.1194286,2775,52.7799633,185
4060,L47406,L,304.2516971,311.4250031,2251,12.37513351,215
4319,L47407,L,298.9164991,312.1023006,2220,8.291137638,205
2110,M15088,M,303.5068283,307.2692854,1698,31.82108172,86
7073,L47409,L,301.1064754,307.8201982,2158,33.63524382,122
9471,L47410,L,302.612264,309.8519865,1240,27.07711616,200
7619,L47411,L,299.9242613,308.3778666,2585,22.57851522,7
390,L47412,L,300.6075157,312.670143,2036,28.46291792,63
1649,L47413,L,299.8311628,309.5374572,1561,15.69374178,135
8958,L47414,L,297.0962355,312.176587,1648,33.17133975,130
8540,M15095,M,301.9465595,310.4030201,1640,69.65512559,126
9538,L47416,L,297.8831057,311.9620301,1480,20.13827695,185
6016,M15097,M,295.5237069,308.3946512,2629,53.6280404,126
8522,L47418,L,301.2383451,312.4344746,2119,14.12191236,159
3794,L47419,L,296.9294183,307.9240358,1491,29.56440223,115
6065,M15100,M,303.952219,310.1234003,2180,27.18152402,195
9166,L47421,L,304.0761429,307.4334576,2132,72.01573991,48
1246,L47422,L,303.7167524,309.5517648,1254,34.95709366,165
2238,L47423,L,298.70546,308.2772192,1526,54.06592071,129
2620,M15104,M,295.4422009,307.8602978,1862,47.65929249,126
8397,M15105,M,303.8405308,313.5325786,1364,14.06698948,136
7916,L47426,L,299.2392942,306.9966003,1923,72.19854484,45
363,L47427,L,304.1932243,312.0773393,2144,28.97928445,64
332,L47428,L,304.1653038,313.6717362,2576,7.058408301,176
7594,L47429,L,303.147687,305.861202,2309,25.67230186,202
6988,L47430,L,298.0089298,311.3621221,1665,28.23413524,156
422,M15111,M,298.8428991,307.7485856,2075,10.55185983,89
8955,L47432,L,303.1304574,306.0279514,2098,48.93435518,218
2784,L47433,L,298.2156824,308.9634056,1629,29.04443416,229
5291,L47434,L,296.8593333,313.2752643,2687,49.60099934,28
249,L47435,L,300.4225716,305.7952973,2785,4.290713029,32
6325,L47436,L,303.9126239,310.4618741,2137,75.29312345,27
483,L47437,L,301.7034741,309.7613115,2438,16.2135909,94
5504,L47438,L,300.5445628,312.7744117,1401,51.79929583,82
4415,M15119,M,296.1940237,306.3804139,1584,55.90909728,111
8892,M15120,M,300.9580665,311.2203608,2658,16.29308786,153
5233,L47441,L,304.4084954,311.2088886,2673,11.93265414,113
3862,M15122,M,296.5887729,311.1195481,2556,14.90761957,28
6707,M15123,M,300.0686328,313.3329094,1320,21.76836903,138
9560,L47444,L,303.3718323,312.367009,1439,16.04729819,232
8315,L47445,L,302.1150713,306.0399791,1559,52.86715828,223
750,H29680,H,301.7125448,309.5157711,1714,34.43665723,212
1598,L47447,L,301.7628536,308.9234198,1892,42.95122808,101
8778,H29682,H,298.6073186,308.2121925,2621,7.246118225,161
6389,L47449,L,298.001045,309.3558275,2842,66.49892451,103
8736,H29684,H,302.7461226,308.8119729,1356,16.21760907,213
5577,M15131,M,302.7530432,309.2019046,1979,30.01908973,47
2201,L47452,L,303.2770653,313.6320211,2443,9.034439379,154
2704,L47453,L,303.7018131,306.4179271,1562,13.7585402,123
8207,L47454,L,300.0043501,313.17007,1829,52.27019705,199
9659,L47455,L,299.9139499,309.5899174,2020,54.22033376,167
7954,M15136,M,302.6443156,310.7523122,2410,53.08308728,237
8437,H29691,H,301.2796682,312.424482,1761,43.99555816,158
2615,M15138,M,301.7580953,308.6197505,1357,73.14357714,192
9091,L47459,L,302.6212926,309.1864175,1401,40.7224973,166
1479,M15140,M,303.4880491,309.0170997,2879,36.51719573,225
9575,L47461,L,298.4095554,308.7353213,1399,21.82131718,110
8244,M15142,M,298.7553632,313.1967875,1525,10.99624573,250
4919,L47463,L,296.1646338,312.4143321,1645,43.7056789,23
2275,L47464,L,300.6201773,306.5828999,2766,26.72400559,219
2162,L47465,L,295.6306689,306.5757992,2620,41.9490479,241
3609,L47466,L,299.5835018,309.1657431,1404,18.8054689,195
604,L47467,L,300.2923306,306.4991248,2224,64.81897054,209
4044,H29702,H,297.9361795,310.7146541,1380,76.57795686,220
7255,L47469,L,300.735666,306.863902,2763,27.27097554,22
5370,L47470,L,295.5806023,309.9312234,1546,65.12144981,228
3493,L47471,L,295.6436033,305.7584816,2193,67.35339073,188
9197,L47472,L,302.8679252,308.2644304,2076,76.31417182,154
6755,H29707,H,298.6137539,311.1852449,1617,28.75002545,15
3135,M15154,M,296.4689567,309.6207154,1736,58.83981346,172
815,M15155,M,300.104638,313.6239828,2618,20.45729547,26
8724,L47476,L,302.3839407,312.7802407,1980,49.28514889,200
759,L47477,L,297.2855535,308.6084733,2841,55.11253906,132
6,H29712,H,301.0305924,306.068441,1446,57.75358642,186
8777,M15159,M,296.0851967,312.549573,1381,18.88213387,199
3677,L47480,L,295.7754718,313.0809979,2476,65.58722153,209
1535,L47481,L,300.1884626,312.3470819,2734,34.44675144,34
1485,H29716,H,300.2738431,306.7363945,1885,19.55170089,197
2267,M15163,M,301.1643551,313.7831126,2137,43.29626323,234
2415,L47484,L,301.9800403,307.7945322,2465,66.65239904,214
561,L47485,L,304.2778391,311.5660598,2202,74.20399983,173
4460,L47486,L,300.0499632,313.0550825,2038,58.26952942,217
9606,M15167,M,298.2711996,307.6090656,2238,4.209346121,55
1319,L47488,L,302.615713,313.0568943,2706,13.60621536,126
2553,M15169,M,297.7916567,308.2068008,2833,9.352746213,242
6321,H29724,H,299.3385371,313.6089471,1605,11.16836049,230
5419,M15171,M,296.0217987,307.9782062,2775,31.6849448,151
2861,L47492,L,295.5332268,313.4228302,1838,28.44231332,137
6721,L47493,L,304.1563654,306.1337117,2071,12.07626664,206
1078,M15174,M,302.9910171,311.4451033,2618,68.0267336,37
5440,L47495,L,301.7029627,310.0101002,2623,48.60312756,211
2527,L47496,L,299.0623671,309.5708043,2321,61.78252889,220
722,L47497,L,296.8943077,307.5103039,2213,30.84879551,197
9437,L47498,L,296.7392208,311.4153259,2059,33.66518199,175
5802,L47499,L,297.6022347,307.2455569,1556,26.92282413,8
6054,H29734,H,300.3528853,310.1780185,1302,35.71745736,242
1346,L47501,L,301.8742825,307.7512874,1699,48.2354647,177
746,L47502,L,301.3738159,313.4405332,1387,39.68923577,68
8125,L47503,L,297.8753919,305.9319127,1500,64.80035805,175
5600,M15184,M,304.0847606,307.3177991,2321,69.33013147,166
878,L47505,L,302.0886516,307.6627159,2223,37.99298453,210
8326,L47506,L,300.4000573,309.0539494,2793,21.25365297,4
4814,L47507,L,300.9278309,307.585115,2616,72.61000814,83
9240,H29742,H,299.1603206,309.6799276,2489,57.31081321,138
7765,H29743,H,297.5791251,312.7669707,2695,50.40125186,246
7310,M15190,M,298.5749486,311.4677137,2876,58.06611981,241
9655,M15191,M,302.2721842,310.397692,1524,9.331473758,59
1348,M15192,M,295.4324201,306.4209257,2646,8.723196652,154
1365,L47513,L,296.3678683,311.3213361,1568,14.94718351,220
9424,M15194,M,295.7232243,307.0479557,2063,14.53443043,134
4262,L47515,L,295.674705,312.0695758,2750,34.42481057,187
7209,M15196,M,303.1702374,307.7254597,2157,15.25901719,177
4083,L47517,L,301.7736523,309.0780947,1876,66.0094669,66
1580,L47518,L,299.6623992,308.5388086,2646,45.88545657,68
5600,M15199,M,296.2000743,312.6563927,2225,30.60946605,182
3420,L47520,L,299.8228661,306.7250101,1415,8.868520783,76
2018,M15201,M,299.6559403,310.2817235,2113,46.82682355,143
4018,L47522,L,296.8934572,306.850699,1209,12.28358934,117
3038,L47523,L,299.2914352,311.4088463,1968,57.90643423,11
762,M15204,M,298.9662436,313.0311328,1290,62.24078944,230
599,L47525,L,300.9658209,309.220322,1194,43.40147158,26
3744,M15206,M,301.1428616,309.6535473,2653,14.69108815,245
8609,L47527,L,295.7167969,313.212125,1738,61.08360629,236
3418,L47528,L,298.7464361,309.9200302,2338,26.20986306,251
6211,L47529,L,301.0579112,309.6495473,1663,20.00914879,160
2565,H29764,H,299.9288536,310.3844657,2818,38.05652347,206
8142,M15211,M,303.1797065,311.2827609,1653,70.96864637,84
1083,M15212,M,301.3599814,306.5657553,2651,25.44877566,107
588,H29767,H,296.7989967,312.3509953,2066,69.72611487,208
7184,L47534,L,295.9492325,309.2275907,1878,7.705960876,54
3659,L47535,L,301.2102574,306.2860229,2319,9.880525725,51
5581,M15216,M,295.5439041,312.0680796,1543,54.65524263,36
5914,L47537,L,300.6891353,308.7532948,1832,17.67514575,112
5027,M15218,M,303.9501182,306.5129767,1950,26.84998574,119
7055,M15219,M,300.5943624,310.8336102,2018,13.72795302,14
9552,M15220,M,298.8711633,312.829064,2274,27.98767399,83
781,L47541,L,301.2182516,312.8908034,2726,24.21748756,82
9729,H29776,H,299.5159266,313.4570741,2714,57.40538012,64
171,L47543,L,300.3196745,312.7284142,2819,54.90730266,195
5020,L47544,L,303.9614762,305.7173414,1841,73.31869844,2
4225,L47545,L,298.8521443,308.7799534,2294,56.53789868,199
2728,M15226,M,304.1429532,312.3301949,2710,54.38273242,104
2109,M15227,M,303.6292259,308.6666493,1529,54.33804312,235
9851,L47548,L,297.1012784,310.5725429,1851,68.08003077,132
9988,H29783,H,295.938124,310.6111673,2447,25.36603415,136
6617,M15230,M,296.2271576,308.656705,1414,25.64670555,128
2786,L47551,L,295.4676408,313.0262388,2383,57.76036535,246
397,M15232,M,296.1688752,309.7761496,2817,20.44973398,234
8996,L47553,L,301.5836623,309.4647521,1702,70.1950563,29
8032,L47554,L,295.9549356,313.7798613,1481,42.73210959,70
3005,L47555,L,298.2345758,309.6973529,2467,25.64909477,213
7765,M15236,M,303.0728529,307.1450258,2564,60.30007488,147
8847,M15237,M,295.5141018,309.8558623,1611,26.53694185,92
7645,L47558,L,302.79311,312.2935356,2839,73.92666148,26
8460,L47559,L,297.8930639,311.9925686,2036,75.36161447,216
1093,L47560,L,296.3871164,312.0875123,2386,52.34276642,237
9661,L47561,L,301.7099819,311.4349927,2449,12.07254717,226
9514,L47562,L,301.0862742,307.7591644,1749,22.96160428,218
1498,M15243,M,303.3727425,312.6828811,2038,41.32235485,62
7328,L47564,L,302.0626536,312.9368921,2551,65.78537437,202
4994,M15245,M,302.6920246,307.2726368,1715,17.25973698,80
3080,L47566,L,297.8947181,306.7566907,2299,11.40057182,30
9947,L47567,L,296.9324438,313.6024002,2215,9.221960776,209
9701,L47568,L,302.2056557,312.7334241,2843,40.70723854,146
9014,M15249,M,302.7228796,312.9352128,1632,68.20623059,113
2136,L47570,L,304.4126473,312.8796487,2213,6.883752864,101
1165,L47571,L,299.0960826,310.0876633,1669,19.25700767,92
2573,M15252,M,298.7225664,310.9358541,2018,54.26911075,206
4922,M15253,M,302.4429992,310.1174391,1883,63.92285808,189
4671,L47574,L,298.4353926,306.1147714,2059,62.57868573,134
687,L47575,L,303.8629674,311.738575,1668,60.95295457,228
9167,L47576,L,303.1973973,309.7931895,1902,13.2494255,164
8698,M15257,M,299.2467451,310.9464435,1760,32.71889598,70
1771,H29812,H,302.2080138,309.7713824,1574,75.48941145,85
74,L47579,L,302.2417944,309.6836717,2521,75.79101521,203
4902,L47580,L,296.2487396,307.0914918,1870,47.65671413,135
581,L47581,L,303.6034867,307.9575811,1453,55.4346525,184
8415,L47582,L,299.9483218,306.9867068,1314,73.05346037,209
897,L47583,L,302.9034087,307.284897,1961,36.5547483,27
2434,L47584,L,298.2444563,313.5811168,1551,13.76390725,81
3953,L47585,L,303.5388137,306.9402189,1178,52.49947814,94
7453,L47586,L,298.8806554,307.8810904,1443,73.6954478,16
2170,M15267,M,295.3997064,310.4837762,2053,54.55660363,214
8925,M15268,M,303.6295142,310.6424465,2759,62.28177805,138
1465,L47589,L,296.1398374,306.9471905,2876,34.57611293,142
823,M15270,M,298.2376855,312.1291111,2131,10.82251762,157
8649,L47591,L,304.0405701,312.0601432,1470,16.0946159,243
2140,L47592,L,304.0455858,307.6222734,1371,75.33727158,94
4682,L47593,L,300.5756286,308.0381971,1512,39.70381828,120
8506,L47594,L,301.1129024,313.2977017,1993,4.675098965,5
2650,L47595,L,299.4256988,312.3879387,2457,73.35073804,11
5090,L47596,L,297.9975391,311.352156,1189,40.03837759,86
3880,L47597,L,298.3237138,306.3660891,2006,64.6803394,188
7054,L47598,L,301.4871698,309.0879391,1703,43.72775274,102
1490,M15279,M,302.2218457,310.2303452,2287,11.20392625,103
1665,M15280,M,302.5825272,307.2180314,2148,48.61346558,163
2533,M15281,M,302.5644869,309.3306353,2636,76.41074012,34
656,L47602,L,296.1390961,310.5683096,1430,6.328910577,66
3719,L47603,L,299.8486668,308.3517511,1751,65.08261758,105
3983,L47604,L,295.8295406,312.025653,2180,20.94300192,247
2675,M15285,M,300.3556657,312.5076416,1550,32.47346101,91
7445,L47606,L,299.3620806,308.3212367,2741,30.93325246,206
6210,M15287,M,303.4668785,312.493123,2084,69.23243574,204
7867,M15288,M,298.5284181,306.5389702,1559,40.52659455,62
4016,L47609,L,296.3770166,312.4856057,2056,36.35428808,82
5977,L47610,L,296.6155235,306.9372785,2792,63.35222792,167
201,L47611,L,302.3058978,306.3717099,1707,7.360439377,81
6612,M15292,M,300.9876062,310.8983808,2283,10.09401974,30
8330,M15293,M,296.2303286,309.5226927,1733,5.378948781,36
1076,M15294,M,296.0737826,313.0539139,2350,53.88515541,212
1749,L47615,L,301.748916,308.6418325,2051,42.06485478,230
1476,L47616,L,295.9694197,308.0259333,1395,67.57441076,132
6946,L47617,L,302.8611125,309.7559527,1640,40.09319534,248
