UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Failure Type,Failure Type Encoded
58,L47237,L,298.8,309.1,1513,40.3,160,No Failure,1
59,M14918,M,298.8,309.0,1661,29.5,162,No Failure,1
60,L47239,L,298.8,309.1,1378,54.4,165,No Failure,1
61,L47240,L,298.8,309.1,1393,52.6,167,No Failure,1
62,M14921,M,298.8,309.0,1592,38.2,169,No Failure,1
63,L47242,L,298.8,309.0,1829,22.9,172,No Failure,1
64,M14923,M,298.9,309.0,1812,25.9,174,No Failure,1
65,L47244,L,299.0,309.1,1523,38.6,177,No Failure,1
66,L47245,L,299.0,309.1,1394,45.1,179,No Failure,1
67,M14926,M,298.9,308.9,1679,28.7,181,No Failure,1
68,H29481,H,298.8,308.9,1466,44.1,184,No Failure,1
69,L47248,L,298.8,308.9,1527,32.4,189,No Failure,1
70,L47249,L,298.9,309.0,1410,65.7,191,Power Failure,3
71,M14930,M,298.9,309.0,1924,22.6,193,No Failure,1
72,L47251,L,298.9,309.1,1452,45.5,196,No Failure,1
73,L47252,L,298.9,309.1,1369,44.4,198,No Failure,1
74,L47253,L,299.0,309.1,1592,35.0,200,No Failure,1
75,L47254,L,298.9,309.0,1601,32.3,202,No Failure,1
76,L47255,L,298.8,308.9,1379,46.7,204,No Failure,1
77,L47256,L,298.8,308.9,1461,47.9,206,No Failure,1
78,L47257,L,298.8,308.9,1455,41.3,208,Tool Wear Failure,5
79,L47258,L,298.8,308.9,1398,51.5,0,No Failure,1
80,L47259,L,298.8,308.9,1402,37.9,2,No Failure,1
81,H29494,H,298.8,308.8,1445,49.9,4,No Failure,1
82,L47261,L,298.9,308.9,1450,47.5,9,No Failure,1
83,L47262,L,298.9,308.9,1453,40.8,11,No Failure,1
84,L47263,L,299.0,309.0,1469,40.1,13,No Failure,1
85,L47264,L,298.9,308.9,1422,47.6,15,No Failure,1
86,M14945,M,299.0,309.0,1804,26.8,17,No Failure,1
87,H29500,H,299.0,309.0,1436,43.9,20,No Failure,1
88,L47267,L,299.0,309.0,1544,31.8,25,No Failure,1
89,M14948,M,299.0,309.0,1419,45.2,27,No Failure,1
90,M14949,M,298.9,308.9,1487,39.5,30,No Failure,1
91,L47270,L,298.9,308.9,1753,25.8,33,No Failure,1
92,L47271,L,298.9,308.9,1830,24.9,35,No Failure,1
93,M14952,M,298.9,308.9,1727,27.1,37,No Failure,1
94,L47273,L,299.1,309.0,1450,43.0,40,No Failure,1
95,L47274,L,299.0,308.9,1622,31.9,42,No Failure,1
96,M14955,M,299.0,309.0,1351,52.2,44,No Failure,1
97,M14956,M,299.0,309.0,1575,35.3,47,No Failure,1
98,M14957,M,298.9,308.9,1750,29.9,50,No Failure,1
99,L47278,L,298.9,308.8,1529,32.7,53,No Failure,1
100,L47279,L,298.8,308.8,1523,44.4,55,No Failure,1
101,L47280,L,298.8,308.9,1852,25.0,57,No Failure,1
102,L47281,L,298.8,308.8,1991,20.7,59,No Failure,1
103,L47282,L,298.8,308.8,1555,40.6,61,No Failure,1
104,M14963,M,298.8,308.8,1441,40.5,63,No Failure,1
105,L47284,L,298.8,308.7,1450,43.4,66,No Failure,1
106,L47285,L,298.8,308.7,1591,31.1,68,No Failure,1
107,L47286,L,298.8,308.7,1445,48.5,70,No Failure,1
108,M14967,M,298.8,308.8,1497,46.8,72,No Failure,1
109,H29522,H,298.9,308.8,1621,32.7,75,No Failure,1
110,L47289,L,298.9,308.7,1572,34.1,80,No Failure,1
111,L47290,L,298.8,308.6,1872,22.5,82,No Failure,1
112,H29525,H,298.7,308.6,1499,43.5,84,No Failure,1
113,M14972,M,298.8,308.7,1498,39.5,89,No Failure,1
114,M14973,M,298.8,308.6,1486,41.9,92,No Failure,1
115,L47294,L,298.8,308.6,1680,29.4,95,No Failure,1
116,L47295,L,298.8,308.6,1431,45.7,97,No Failure,1
117,L47296,L,298.9,308.7,1564,34.1,99,No Failure,1
118,L47297,L,298.8,308.6,1599,33.0,101,No Failure,1
119,M14978,M,298.8,308.6,1707,28.1,103,No Failure,1
120,L47299,L,298.7,308.5,1467,40.7,106,No Failure,1
121,L47300,L,298.9,308.7,1433,44.7,108,No Failure,1
122,L47301,L,298.9,308.7,1558,41.2,110,No Failure,1
123,L47302,L,299.0,308.8,1310,50.7,112,No Failure,1
124,L47303,L,298.9,308.7,1546,43.4,114,No Failure,1
125,L47304,L,298.9,308.7,1727,29.4,116,No Failure,1
126,L47305,L,298.9,308.6,1560,32.2,118,No Failure,1
127,L47306,L,299.0,308.6,1329,60.5,120,No Failure,1
128,L47307,L,298.9,308.6,1413,46.5,122,No Failure,1
129,L47308,L,299.0,308.6,1587,38.6,124,No Failure,1
130,L47309,L,298.9,308.5,1559,34.3,126,No Failure,1
131,L47310,L,298.8,308.4,1473,41.1,128,No Failure,1
132,L47311,L,298.8,308.4,1737,27.7,130,No Failure,1
133,M14992,M,298.7,308.4,1441,43.2,132,No Failure,1
134,M14993,M,298.7,308.4,1430,49.6,135,No Failure,1
135,L47314,L,298.8,308.4,1369,53.0,138,No Failure,1
136,M14995,M,298.8,308.5,1711,28.5,140,No Failure,1
137,H29550,H,298.7,308.5,1420,45.7,143,No Failure,1
138,L47317,L,298.7,308.6,1297,55.3,148,No Failure,1
139,H29552,H,298.8,308.6,1449,49.4,150,No Failure,1
140,L47319,L,298.8,308.6,1268,55.8,155,No Failure,1
141,L47320,L,298.8,308.6,1511,36.1,157,No Failure,1
142,L47321,L,298.7,308.5,1544,35.2,159,No Failure,1
143,M15002,M,298.6,308.4,1778,28.2,161,No Failure,1
144,H29557,H,298.6,308.4,1407,50.5,164,No Failure,1
145,M15004,M,298.6,308.4,1391,42.4,169,No Failure,1
146,L47325,L,298.5,308.4,1513,33.6,172,No Failure,1
147,H29560,H,298.5,308.4,1612,36.1,174,No Failure,1
148,L47327,L,298.4,308.4,1515,40.1,179,No Failure,1
149,M15008,M,298.3,308.3,1379,48.0,181,No Failure,1
150,L47329,L,298.4,308.3,1473,39.9,184,No Failure,1
151,L47330,L,298.4,308.3,1422,42.7,186,No Failure,1
152,M15011,M,298.4,308.2,1463,37.6,188,No Failure,1
153,M15012,M,298.4,308.2,1584,41.0,191,No Failure,1
154,L47333,L,298.4,308.2,1850,27.0,194,No Failure,1
155,L47334,L,298.4,308.2,1528,36.2,196,No Failure,1
156,H29569,H,298.4,308.2,1987,19.8,198,No Failure,1
157,M15016,M,298.4,308.1,1495,46.0,203,No Failure,1
158,H29571,H,298.4,308.2,1478,43.5,206,No Failure,1
159,M15018,M,298.4,308.2,1499,40.0,211,No Failure,1
160,L47339,L,298.4,308.2,1471,47.0,214,No Failure,1
161,L47340,L,298.4,308.2,1282,60.7,216,Overstrain Failure,2
162,L47341,L,298.3,308.1,1412,52.3,218,Overstrain Failure,2
163,L47342,L,298.3,308.1,1586,35.5,0,No Failure,1
164,M15023,M,298.4,308.2,1468,43.8,2,No Failure,1
165,M15024,M,298.5,308.3,1440,43.6,5,No Failure,1
166,L47345,L,298.5,308.4,1733,26.0,8,No Failure,1
167,H29580,H,298.4,308.2,1612,32.6,10,No Failure,1
168,H29581,H,298.4,308.3,1458,42.9,15,No Failure,1
169,L47348,L,298.4,308.3,1433,62.3,20,Power Failure,3
170,L47349,L,298.4,308.3,1318,59.1,22,No Failure,1
171,M15030,M,298.4,308.2,1610,35.0,24,No Failure,1
172,L47351,L,298.2,308.1,1462,50.8,27,No Failure,1
173,M15032,M,298.1,308.0,1924,20.8,29,No Failure,1
174,M15033,M,298.2,308.0,1591,33.7,32,No Failure,1
175,L47354,L,298.2,308.1,1306,58.3,35,No Failure,1
176,L47355,L,298.2,308.1,1382,43.5,37,No Failure,1
177,L47356,L,298.2,308.1,1618,34.7,39,No Failure,1
178,L47357,L,298.2,308.2,1988,21.4,41,No Failure,1
179,L47358,L,298.2,308.2,1436,50.2,43,No Failure,1
180,L47359,L,298.2,308.3,1304,49.8,45,No Failure,1
181,L47360,L,298.2,308.3,1475,49.9,47,No Failure,1
182,H29595,H,298.2,308.3,1824,24.2,49,No Failure,1
183,M15042,M,298.1,308.2,1342,48.1,54,No Failure,1
184,L47363,L,298.1,308.2,1485,40.7,57,No Failure,1
185,L47364,L,298.2,308.2,1667,30.6,59,No Failure,1
186,L47365,L,298.2,308.2,1446,38.2,61,No Failure,1
187,L47366,L,298.1,308.3,1301,56.0,63,No Failure,1
188,L47367,L,298.2,308.4,1379,43.1,65,No Failure,1
189,L47368,L,298.3,308.5,1606,33.6,67,No Failure,1
190,M15049,M,298.3,308.4,1539,43.4,69,No Failure,1
191,L47370,L,298.2,308.4,1477,49.9,72,No Failure,1
192,L47371,L,298.2,308.4,1666,34.6,74,No Failure,1
193,H29606,H,298.2,308.4,1398,51.8,76,No Failure,1
194,H29607,H,298.2,308.4,1678,34.6,81,No Failure,1
195,M15054,M,298.2,308.5,2678,10.7,86,Power Failure,3
196,L47375,L,298.3,308.5,1453,42.9,89,No Failure,1
197,H29610,H,298.3,308.6,1432,49.5,91,No Failure,1
198,M15057,M,298.4,308.6,1527,40.9,96,No Failure,1
199,L47378,L,298.4,308.7,1588,35.0,99,No Failure,1
200,L47379,L,298.4,308.6,1433,47.1,101,No Failure,1
201,L47380,L,298.4,308.6,1609,35.0,103,No Failure,1
202,L47381,L,298.3,308.5,1575,41.2,105,No Failure,1
203,M15062,M,298.4,308.5,1636,35.7,107,No Failure,1
204,L47383,L,298.4,308.5,1490,37.9,110,No Failure,1
205,L47384,L,298.4,308.5,1741,32.8,112,No Failure,1
206,M15065,M,298.5,308.6,1344,53.0,114,No Failure,1
207,L47386,L,298.5,308.7,1609,35.3,117,No Failure,1
208,M15067,M,298.4,308.7,1421,60.7,119,Power Failure,3
209,L47388,L,298.4,308.6,1591,36.7,122,No Failure,1
210,L47389,L,298.4,308.6,1477,44.0,124,No Failure,1
211,L47390,L,298.4,308.7,1523,36.1,126,No Failure,1
212,L47391,L,298.5,308.7,1575,33.9,128,No Failure,1
213,H29626,H,298.4,308.7,1344,52.9,130,No Failure,1
214,L47393,L,298.4,308.7,1386,44.9,135,No Failure,1
215,M15074,M,298.3,308.6,1589,37.1,137,No Failure,1
216,L47395,L,298.3,308.6,1548,40.3,140,No Failure,1
217,L47396,L,298.3,308.6,1499,38.3,142,No Failure,1
218,L47397,L,298.3,308.5,1664,31.6,144,No Failure,1
219,L47398,L,298.3,308.6,1447,38.1,146,No Failure,1
220,M15079,M,298.3,308.5,1434,46.2,148,No Failure,1
221,L47400,L,298.3,308.5,1416,52.7,151,No Failure,1
222,H29635,H,298.4,308.5,1827,24.3,153,No Failure,1
223,L47402,L,298.4,308.6,1304,45.0,158,No Failure,1
224,L47403,L,298.4,308.6,1569,34.4,160,No Failure,1
225,L47404,L,298.3,308.6,1584,29.3,162,No Failure,1
226,L47405,L,298.3,308.5,1362,53.8,164,No Failure,1
227,L47406,L,298.3,308.4,1329,49.2,166,No Failure,1
228,L47407,L,298.3,308.5,1539,36.1,168,No Failure,1
229,M15088,M,298.3,308.5,1629,37.1,170,No Failure,1
230,L47409,L,298.3,308.5,1538,32.2,173,No Failure,1
231,L47410,L,298.3,308.6,1570,34.8,175,No Failure,1
232,L47411,L,298.3,308.4,1408,43.1,177,No Failure,1
233,L47412,L,298.2,308.4,1424,47.6,179,No Failure,1
234,L47413,L,298.2,308.4,1512,34.9,181,No Failure,1
235,L47414,L,298.2,308.4,1478,42.9,183,No Failure,1
236,M15095,M,298.1,308.3,1680,33.7,185,No Failure,1
237,L47416,L,298.1,308.3,1495,38.7,188,No Failure,1
238,M15097,M,298.0,308.1,1552,36.6,190,No Failure,1
239,L47418,L,297.9,308.1,1393,50.3,193,No Failure,1
240,L47419,L,298.0,308.2,1611,30.6,195,No Failure,1
241,M15100,M,298.0,308.1,1339,51.6,197,No Failure,1
242,L47421,L,298.0,308.1,1777,24.3,200,No Failure,1
243,L47422,L,298.0,308.2,1348,58.8,202,Overstrain Failure,2
244,L47423,L,298.0,308.2,1442,44.1,204,No Failure,1
245,M15104,M,298.0,308.2,1395,49.1,206,No Failure,1
246,M15105,M,297.9,308.1,1627,31.4,209,No Failure,1
247,L47426,L,297.9,308.1,1585,33.5,212,No Failure,1
248,L47427,L,298.0,308.2,1469,45.5,214,No Failure,1
249,L47428,L,298.0,308.3,1362,56.8,216,Overstrain Failure,2
250,L47429,L,298.0,308.3,1405,56.2,218,Overstrain Failure,2
251,L47430,L,298.0,308.3,1662,32.7,0,No Failure,1
252,M15111,M,298.0,308.2,1466,42.6,2,No Failure,1
253,L47432,L,298.0,308.2,1620,35.8,5,No Failure,1
254,L47433,L,298.0,308.2,1357,48.2,7,No Failure,1
255,L47434,L,298.0,308.2,1514,37.9,9,No Failure,1
256,L47435,L,298.0,308.2,1489,40.4,11,No Failure,1
257,L47436,L,298.1,308.3,1331,63.0,13,No Failure,1
258,L47437,L,298.0,308.0,1615,29.5,15,No Failure,1
259,L47438,L,298.1,308.2,1482,37.9,17,No Failure,1
260,M15119,M,298.1,308.2,1420,63.9,19,Power Failure,3
261,M15120,M,298.2,308.3,1522,49.1,22,No Failure,1
262,L47441,L,298.1,308.2,1654,32.1,25,No Failure,1
263,M15122,M,298.1,308.2,1736,26.8,27,No Failure,1
264,M15123,M,298.0,308.1,1587,32.3,30,No Failure,1
265,L47444,L,298.1,308.2,1390,47.5,33,No Failure,1
266,L47445,L,298.0,308.1,1454,37.1,35,No Failure,1
267,H29680,H,298.0,308.1,1440,43.7,37,No Failure,1
268,L47447,L,297.9,308.0,1954,21.1,42,No Failure,1
269,H29682,H,297.9,308.0,1800,24.8,44,No Failure,1
270,L47449,L,298.0,308.0,1524,37.0,49,No Failure,1
271,H29684,H,298.0,308.0,1520,39.6,51,No Failure,1
272,M15131,M,298.1,308.1,1452,40.8,56,No Failure,1
273,L47452,L,298.1,308.1,1484,40.4,59,No Failure,1
274,L47453,L,298.1,308.0,1426,46.0,61,No Failure,1
275,L47454,L,298.1,308.0,1652,28.5,63,No Failure,1
276,L47455,L,298.0,308.0,1401,54.7,65,No Failure,1
277,M15136,M,298.0,307.9,1750,26.6,67,No Failure,1
278,H29691,H,298.0,308.0,1479,50.7,70,No Failure,1
279,M15138,M,298.0,308.0,1620,29.4,75,No Failure,1
280,L47459,L,298.0,308.1,1819,23.4,78,No Failure,1
281,M15140,M,298.1,308.1,1456,43.7,80,No Failure,1
282,L47461,L,298.1,308.0,1626,36.5,83,No Failure,1
283,M15142,M,298.1,308.1,1390,49.8,85,No Failure,1
284,L47463,L,298.2,308.2,1469,43.0,88,No Failure,1
285,L47464,L,298.2,308.3,2051,19.2,90,No Failure,1
286,L47465,L,298.2,308.3,1568,36.0,92,No Failure,1
287,L47466,L,298.2,308.3,1589,33.2,94,No Failure,1
288,L47467,L,298.2,308.3,1805,31.6,96,No Failure,1
289,H29702,H,298.2,308.4,1385,42.2,98,No Failure,1
290,L47469,L,298.1,308.4,1436,46.7,103,No Failure,1
291,L47470,L,298.1,308.4,1438,45.6,105,No Failure,1
292,L47471,L,298.0,308.3,1473,42.6,107,No Failure,1
293,L47472,L,298.1,308.4,1335,40.2,109,No Failure,1
294,H29707,H,298.1,308.5,1392,44.8,111,No Failure,1
295,M15154,M,298.1,308.5,1372,51.1,116,No Failure,1
296,M15155,M,298.1,308.6,1716,30.7,119,No Failure,1
297,L47476,L,298.0,308.5,1395,46.2,122,No Failure,1
298,L47477,L,298.0,308.5,1713,25.3,124,No Failure,1
299,H29712,H,297.9,308.5,2129,18.7,126,No Failure,1
300,M15159,M,297.8,308.3,1567,35.6,131,No Failure,1
301,L47480,L,297.8,308.4,1622,38.3,134,No Failure,1
302,L47481,L,297.7,308.4,1740,27.1,136,No Failure,1
303,H29716,H,297.8,308.4,1512,35.1,138,No Failure,1
304,M15163,M,297.8,308.4,1479,43.5,143,No Failure,1
305,L47484,L,297.8,308.4,1737,27.5,146,No Failure,1
306,L47485,L,297.8,308.4,2129,19.2,148,No Failure,1
307,L47486,L,297.8,308.4,1374,47.1,150,No Failure,1
308,M15167,M,297.8,308.4,1579,36.6,152,No Failure,1
309,L47488,L,297.9,308.5,1305,47.2,155,No Failure,1
310,M15169,M,297.9,308.5,1449,40.8,157,No Failure,1
311,H29724,H,298.0,308.6,1526,41.8,160,No Failure,1
312,M15171,M,298.0,308.6,1453,44.1,165,No Failure,1
313,L47492,L,297.9,308.6,1468,36.0,168,No Failure,1
314,L47493,L,298.0,308.6,1313,50.8,170,No Failure,1
315,M15174,M,297.9,308.5,1300,53.0,172,No Failure,1
316,L47495,L,297.9,308.4,1646,40.6,175,No Failure,1
317,L47496,L,297.8,308.4,1714,33.2,177,No Failure,1
318,L47497,L,297.8,308.4,1685,28.4,179,No Failure,1
319,L47498,L,297.8,308.4,1512,39.9,181,No Failure,1
320,L47499,L,297.8,308.4,1612,32.1,183,No Failure,1
321,H29734,H,297.8,308.4,1550,38.2,185,No Failure,1
322,L47501,L,297.8,308.4,1518,32.5,190,No Failure,1
323,L47502,L,297.8,308.5,1448,40.0,192,No Failure,1
324,L47503,L,297.8,308.5,1561,46.3,194,No Failure,1
325,M15184,M,297.8,308.5,1488,41.9,196,No Failure,1
326,L47505,L,297.8,308.5,1699,27.8,199,No Failure,1
327,L47506,L,297.7,308.5,1501,41.4,201,No Failure,1
328,L47507,L,297.7,308.5,1373,56.7,203,Overstrain Failure,2
329,H29742,H,297.6,308.4,1703,31.4,205,No Failure,1
330,H29743,H,297.7,308.5,1720,29.9,210,No Failure,1
331,M15190,M,297.6,308.4,1398,41.9,215,No Failure,1
332,M15191,M,297.6,308.4,1391,51.9,218,No Failure,1
333,M15192,M,297.6,308.3,1538,40.2,0,No Failure,1
334,L47513,L,297.5,308.2,1647,31.3,3,No Failure,1
335,M15194,M,297.5,308.1,1469,44.8,5,No Failure,1
336,L47515,L,297.4,308.1,1749,25.9,8,No Failure,1
337,M15196,M,297.6,308.2,1995,20.5,10,No Failure,1
338,L47517,L,297.6,308.3,1742,27.7,13,No Failure,1
339,L47518,L,297.5,308.2,1563,38.2,15,No Failure,1
340,M15199,M,297.5,308.2,1713,32.2,17,No Failure,1
341,L47520,L,297.4,308.1,1474,39.4,20,No Failure,1
342,M15201,M,297.4,308.2,1530,32.6,22,No Failure,1
343,L47522,L,297.4,308.2,1471,46.5,25,No Failure,1
344,L47523,L,297.5,308.3,1388,48.6,27,No Failure,1
345,M15204,M,297.5,308.2,2448,13.8,29,No Failure,1
346,L47525,L,297.5,308.3,1585,32.9,32,No Failure,1
347,M15206,M,297.5,308.3,1459,45.2,34,No Failure,1
348,L47527,L,297.5,308.3,1544,40.8,37,No Failure,1
349,L47528,L,297.6,308.3,1617,31.7,39,No Failure,1
350,L47529,L,297.6,308.3,1595,34.3,41,No Failure,1
351,H29764,H,297.6,308.3,1400,44.3,43,No Failure,1
352,M15211,M,297.6,308.4,1611,31.0,48,No Failure,1
353,M15212,M,297.6,308.4,1507,46.0,51,No Failure,1
354,H29767,H,297.5,308.3,1674,30.0,54,No Failure,1
355,L47534,L,297.6,308.3,1658,34.3,59,No Failure,1
356,L47535,L,297.6,308.3,1623,36.9,61,No Failure,1
357,M15216,M,297.6,308.4,1398,48.9,63,No Failure,1
358,L47537,L,297.6,308.4,1517,34.2,66,No Failure,1
359,M15218,M,297.6,308.3,1467,36.7,68,No Failure,1
360,M15219,M,297.6,308.3,1567,34.6,71,No Failure,1
361,M15220,M,297.5,308.3,1521,38.2,74,No Failure,1
362,L47541,L,297.5,308.3,1596,36.8,77,No Failure,1
363,H29776,H,297.6,308.3,1640,30.9,79,No Failure,1
364,L47543,L,297.6,308.3,1438,47.8,84,No Failure,1
365,L47544,L,297.6,308.4,1407,55.2,86,No Failure,1
366,L47545,L,297.6,308.4,1353,57.5,88,No Failure,1
367,M15226,M,297.6,308.5,1552,40.9,90,No Failure,1
368,M15227,M,297.6,308.4,1569,38.3,93,No Failure,1
369,L47548,L,297.5,308.4,1489,39.5,96,No Failure,1
370,H29783,H,297.5,308.4,1587,36.1,98,No Failure,1
371,M15230,M,297.5,308.3,1622,37.2,103,No Failure,1
372,L47551,L,297.5,308.4,1604,38.1,106,No Failure,1
373,M15232,M,297.4,308.3,1405,51.7,108,No Failure,1
374,L47553,L,297.4,308.3,1412,42.0,111,No Failure,1
375,L47554,L,297.4,308.3,1431,43.0,113,No Failure,1
376,L47555,L,297.4,308.2,1533,37.4,115,No Failure,1
377,M15236,M,297.4,308.2,1401,51.9,117,No Failure,1
378,M15237,M,297.4,308.2,1424,53.9,120,No Failure,1
379,L47558,L,297.3,308.2,1754,29.4,123,No Failure,1
380,L47559,L,297.3,308.2,1754,26.8,125,No Failure,1
381,L47560,L,297.5,308.3,2564,12.8,127,Power Failure,3
382,L47561,L,297.5,308.5,1546,40.4,129,No Failure,1
383,L47562,L,297.5,308.5,1335,48.0,131,No Failure,1
384,M15243,M,297.5,308.6,1842,27.0,133,No Failure,1
385,L47564,L,297.5,308.5,1712,26.8,136,No Failure,1
386,M15245,M,297.6,308.6,1414,45.4,138,No Failure,1
387,L47566,L,297.6,308.7,1319,50.9,141,No Failure,1
388,L47567,L,297.7,308.7,1249,60.4,143,No Failure,1
389,L47568,L,297.6,308.7,1455,48.2,145,No Failure,1
390,M15249,M,297.6,308.7,1408,54.8,147,No Failure,1
391,L47570,L,297.6,308.7,1460,46.7,150,No Failure,1
392,L47571,L,297.6,308.6,1491,38.1,152,No Failure,1
393,M15252,M,297.6,308.5,1490,43.4,154,No Failure,1
394,M15253,M,297.5,308.4,1350,52.2,157,No Failure,1
395,L47574,L,297.5,308.4,1528,39.9,160,No Failure,1
396,L47575,L,297.4,308.3,1571,37.7,162,No Failure,1
397,L47576,L,297.4,308.3,1490,42.6,164,No Failure,1
398,M15257,M,297.4,308.3,1774,28.9,166,No Failure,1
399,H29812,H,297.4,308.3,1502,43.6,169,No Failure,1
400,L47579,L,297.4,308.4,1392,49.7,174,No Failure,1
401,L47580,L,297.4,308.5,2100,16.9,176,No Failure,1
402,L47581,L,297.5,308.5,1722,30.4,178,No Failure,1
403,L47582,L,297.4,308.6,1678,32.3,180,No Failure,1
404,L47583,L,297.3,308.6,1273,59.8,182,No Failure,1
405,L47584,L,297.3,308.6,1297,45.9,184,No Failure,1
406,L47585,L,297.3,308.5,1350,57.6,186,No Failure,1
407,L47586,L,297.4,308.6,1439,51.9,188,No Failure,1
408,M15267,M,297.4,308.5,1600,42.1,190,No Failure,1
409,M15268,M,297.4,308.6,1434,44.4,193,No Failure,1
410,L47589,L,297.4,308.6,1459,41.3,196,No Failure,1
411,M15270,M,297.5,308.6,1472,44.9,198,No Failure,1
412,L47591,L,297.5,308.7,1429,44.3,201,No Failure,1
413,L47592,L,297.5,308.6,1388,48.2,203,No Failure,1
414,L47593,L,297.4,308.4,1573,34.5,205,No Failure,1
415,L47594,L,297.4,308.4,1588,32.5,207,No Failure,1
416,L47595,L,297.5,308.4,1511,42.8,209,No Failure,1
417,L47596,L,297.4,308.5,1495,37.8,211,No Failure,1
418,L47597,L,297.4,308.4,1394,50.1,213,No Failure,1
419,L47598,L,297.4,308.4,2151,17.7,0,No Failure,1
420,M15279,M,297.3,308.3,1501,38.2,2,No Failure,1
421,M15280,M,297.3,308.3,1301,39.6,5,No Failure,1
422,M15281,M,297.3,308.3,1657,31.1,8,No Failure,1
423,L47602,L,297.3,308.3,1333,55.2,11,No Failure,1
424,L47603,L,297.3,308.3,1484,43.9,13,No Failure,1
425,L47604,L,297.3,308.4,1430,45.7,15,No Failure,1
426,M15285,M,297.3,308.4,1665,28.9,17,No Failure,1
427,L47606,L,297.4,308.5,1501,44.9,20,No Failure,1
428,M15287,M,297.5,308.5,1496,42.2,22,No Failure,1
429,M15288,M,297.6,308.6,1595,36.9,25,No Failure,1
430,L47609,L,297.5,308.6,1208,62.3,28,No Failure,1
431,L47610,L,297.5,308.6,1596,37.1,30,No Failure,1
